Data,PIB,Trimestre,Ano,Trimestre/Ano,,,Trimestre/Ano,PIB,,,,,,,,,,,Ano,% PIB
Jan-04,"144,558.6000",1,2004,1Q2004,,,1Q2004,444783.4,,,,,,,,,,,2004,5.76%
Feb-04,"142,861.3000",1,2004,1Q2004,,,2Q2004,481795,,,,,,,,,,,2005,3.20%
Mar-04,"157,363.5000",1,2004,1Q2004,,,3Q2004,505252.3,,,,,,,,,,,2006,3.96%
Apr-04,"156,953.9000",2,2004,2Q2004,,,4Q2004,525920.4,,,,,,,,,,,2007,6.07%
May-04,"159,498.9000",2,2004,2Q2004,,,1Q2005,499710.4,,,,,,,,,,,2008,5.09%
Jun-04,"165,342.2000",2,2004,2Q2004,,,2Q2005,535557.5,,,,,,,,,,,2009,-0.13%
Jul-04,"171,370.9000",3,2004,3Q2004,,,3Q2005,552859.2,,,,,,,,,,,2010,7.53%
Aug-04,"169,178.9000",3,2004,3Q2004,,,4Q2005,582457.5,,,,,,,,,,,2011,3.97%
Sep-04,"164,702.5000",3,2004,3Q2004,,,1Q2006,554270.3,,,,,,,,,,,2012,1.92%
Oct-04,"170,536.5000",4,2004,4Q2004,,,2Q2006,581976.8,,,,,,,,,,,2013,3.00%
Nov-04,"176,921.5000",4,2004,4Q2004,,,3Q2006,617847.8,,,,,,,,,,,2014,0.50%
Dec-04,"178,462.4000",4,2004,4Q2004,,,4Q2006,655355.2,,,,,,,,,,,2015,-3.55%
Jan-05,"163,540.1000",1,2005,1Q2005,,,1Q2007,631423.7,,,,,,,,,,,2016,-3.28%
Feb-05,"160,701.6000",1,2005,1Q2005,,,2Q2007,670655.3,,,,,,,,,,,2017,1.32%
Mar-05,"175,468.7000",1,2005,1Q2005,,,3Q2007,691845.9,,,,,,,,,,,2018,1.78%
Apr-05,"177,179.0000",2,2005,2Q2005,,,4Q2007,726338,,,,,,,,,,,2019,1.41%
May-05,"177,496.7000",2,2005,2Q2005,,,1Q2008,712052.5,,,,,,,,,,,2020,-4.06%
Jun-05,"180,881.8000",2,2005,2Q2005,,,2Q2008,769521.9,,,,,,,,,,,2021,4.60%
Jul-05,"184,073.7000",3,2005,3Q2005,,,3Q2008,812602.4,,,,,,,,,,,2022,2.90%
Aug-05,"187,246.6000",3,2005,3Q2005,,,4Q2008,815626.1,,,,,,,,,,,,
Sep-05,"181,538.9000",3,2005,3Q2005,,,1Q2009,756140.6,,,,,,,,,,,,
Oct-05,"189,183.0000",4,2005,4Q2005,,,2Q2009,803588.7,,,,,,,,,,,,
Nov-05,"194,794.5000",4,2005,4Q2005,,,3Q2009,852842.5,,,,,,,,,,,,
Dec-05,"198,480.0000",4,2005,4Q2005,,,4Q2009,920467.5,,,,,,,,,,,,
Jan-06,"185,564.8000",1,2006,1Q2006,,,1Q2010,886347.6,,,,,,,,,,,,
Feb-06,"178,482.2000",1,2006,1Q2006,,,2Q2010,944095.1,,,,,,,,,,,,
Mar-06,"190,223.3000",1,2006,1Q2006,,,3Q2010,997935.7,,,,,,,,,,,,
Apr-06,"185,030.6000",2,2006,2Q2006,,,4Q2010,1057468.7,,,,,,,,,,,,
May-06,"197,874.3000",2,2006,2Q2006,,,1Q2011,1016117.2,,,,,,,,,,,,
Jun-06,"199,071.9000",2,2006,2Q2006,,,2Q2011,1086256.7,,,,,,,,,,,,
Jul-06,"206,974.4000",3,2006,3Q2006,,,3Q2011,1111637.2,,,,,,,,,,,,
Aug-06,"209,818.0000",3,2006,3Q2006,,,4Q2011,1159646.9,,,,,,,,,,,,
Sep-06,"201,055.4000",3,2006,3Q2006,,,1Q2012,1127389.2,,,,,,,,,,,,
Oct-06,"214,271.7000",4,2006,4Q2006,,,2Q2012,1180791.1,,,,,,,,,,,,
Nov-06,"219,724.2000",4,2006,4Q2006,,,3Q2012,1228048.4,,,,,,,,,,,,
Dec-06,"221,359.3000",4,2006,4Q2006,,,4Q2012,1269684.4,,,,,,,,,,,,
Jan-07,"211,130.7000",1,2007,1Q2007,,,1Q2013,1240187,,,,,,,,,,,,
Feb-07,"202,704.1000",1,2007,1Q2007,,,2Q2013,1320768,,,,,,,,,,,,
Mar-07,"217,588.9000",1,2007,1Q2007,,,3Q2013,1350087.8,,,,,,,,,,,,
Apr-07,"215,128.8000",2,2007,2Q2007,,,4Q2013,1405412.3,,,,,,,,,,,,
May-07,"226,537.9000",2,2007,2Q2007,,,1Q2014,1368453.6,,,,,,,,,,,,
Jun-07,"228,988.6000",2,2007,2Q2007,,,2Q2014,1400631.1,,,,,,,,,,,,
Jul-07,"233,824.1000",3,2007,3Q2007,,,3Q2014,1435567.5,,,,,,,,,,,,
Aug-07,"235,019.1000",3,2007,3Q2007,,,4Q2014,1482656.8,,,,,,,,,,,,
Sep-07,"223,002.7000",3,2007,3Q2007,,,1Q2015,1434822.8,,,,,,,,,,,,
Oct-07,"241,939.4000",4,2007,4Q2007,,,2Q2015,1456501.8,,,,,,,,,,,,
Nov-07,"241,938.4000",4,2007,4Q2007,,,3Q2015,1490785.6,,,,,,,,,,,,
Dec-07,"242,460.2000",4,2007,4Q2007,,,4Q2015,1554567.4,,,,,,,,,,,,
Jan-08,"237,247.7000",1,2008,1Q2008,,,1Q2016,1498281.6,,,,,,,,,,,,
Feb-08,"232,680.4000",1,2008,1Q2008,,,2Q2016,1557785.5,,,,,,,,,,,,
Mar-08,"242,124.4000",1,2008,1Q2008,,,3Q2016,1577684.6,,,,,,,,,,,,
Apr-08,"248,793.8000",2,2008,2Q2008,,,4Q2016,1632473.9,,,,,,,,,,,,
May-08,"254,936.9000",2,2008,2Q2008,,,1Q2017,1584998.1,,,,,,,,,,,,
Jun-08,"265,791.2000",2,2008,2Q2008,,,2Q2017,1630913.4,,,,,,,,,,,,
Jul-08,"278,095.6000",3,2008,3Q2008,,,3Q2017,1641908.1,,,,,,,,,,,,
Aug-08,"269,235.6000",3,2008,3Q2008,,,4Q2017,1704406.8,,,,,,,,,,,,
Sep-08,"265,271.2000",3,2008,3Q2008,,,1Q2018,1644670.8,,,,,,,,,,,,
Oct-08,"280,522.5000",4,2008,4Q2008,,,2Q2018,1687074.1,,,,,,,,,,,,
Nov-08,"270,698.8000",4,2008,4Q2008,,,3Q2018,1722588.1,,,,,,,,,,,,
Dec-08,"264,404.8000",4,2008,4Q2008,,,4Q2018,1789066,,,,,,,,,,,,
Jan-09,"249,934.4000",1,2009,1Q2009,,,1Q2019,1725609.7,,,,,,,,,,,,
Feb-09,"244,024.5000",1,2009,1Q2009,,,2Q2019,1795806.4,,,,,,,,,,,,
Mar-09,"262,181.7000",1,2009,1Q2009,,,3Q2019,1857395.2,,,,,,,,,,,,
Apr-09,"259,563.5000",2,2009,2Q2009,,,4Q2019,1922509.4,,,,,,,,,,,,
May-09,"268,324.0000",2,2009,2Q2009,,,1Q2020,1843893.3,,,,,,,,,,,,
Jun-09,"275,701.2000",2,2009,2Q2009,,,2Q2020,1708553.1,,,,,,,,,,,,
Jul-09,"285,444.2000",3,2009,3Q2009,,,3Q2020,1890101.1,,,,,,,,,,,,
Aug-09,"284,240.4000",3,2009,3Q2009,,,4Q2020,2011374.4,,,,,,,,,,,,
