Mês,unidades,Var% Mês,Acum. Ano,lançamentos
jan-04,588,,588,
fev-04,1401,138.27%,1989,
mar-04,1867,33.26%,3856,
abr-04,1284,-31.23%,5140,
mai-04,1457,13.47%,6597,
jun-04,2113,45.02%,8710,
jul-04,1304,-38.29%,10014,
ago-04,1542,18.25%,11556,
set-04,3201,107.59%,14757,
out-04,3786,18.28%,18543,
nov-04,2233,-41.02%,20776,
dez-04,1774,-20.56%,22550,
jan-05,969,-45.38%,969,22931.00
fev-05,1573,62.33%,2542,23103.00
mar-05,2192,39.35%,4734,23428.00
abr-05,1449,-33.90%,6183,23593.00
mai-05,1827,26.09%,8010,23963.00
jun-05,1184,-35.19%,9194,23034.00
jul-05,771,-34.88%,9965,22501.00
ago-05,2585,235.28%,12550,23544.00
set-05,2611,1.01%,15161,22954.00
out-05,2627,0.61%,17788,21795.00
nov-05,2597,-1.14%,20385,22159.00
dez-05,4530,74.43%,24915,24915.00
jan-06,327,-92.78%,327,24273.00
fev-06,836,155.66%,1163,23536.00
mar-06,1561,86.72%,2724,22905.00
abr-06,1699,8.84%,4423,23155.00
mai-06,2475,45.67%,6898,23803.00
jun-06,2719,9.86%,9617,25338.00
jul-06,1116,-58.96%,10733,25683.00
ago-06,2442,118.82%,13175,25540.00
set-06,1748,-28.42%,14923,24677.00
out-06,2241,28.20%,17164,24291.00
nov-06,3727,66.31%,20891,25421.00
dez-06,4798,28.74%,25689,25689.00
jan-07,501,-89.56%,501,25863.00
fev-07,869,73.45%,1370,25896.00
mar-07,3266,275.83%,4636,27601.00
abr-07,2698,-17.39%,7334,28600.00
mai-07,2634,-2.37%,9968,28759.00
jun-07,3193,21.22%,13161,29233.00
jul-07,1666,-47.82%,14827,29783.00
ago-07,1960,17.65%,16787,29301.00
set-07,4879,148.93%,21666,32432.00
out-07,5943,21.81%,27609,36134.00
nov-07,3812,-35.86%,31421,36219.00
dez-07,7569,98.56%,38990,38990.00
jan-08,715,-90.55%,715,39204.00
fev-08,2349,228.53%,3064,40684.00
mar-08,3961,68.62%,7025,41379.00
abr-08,1901,-52.01%,8926,40582.00
mai-08,3859,103.00%,12785,41807.00
jun-08,4027,4.35%,16812,42641.00
jul-08,2931,-27.22%,19743,43906.00
ago-08,3642,24.26%,23385,45588.00
set-08,2368,-34.98%,25753,43077.00
out-08,3541,49.54%,29294,40675.00
nov-08,2518,-28.89%,31812,39381.00
dez-08,2663,5.76%,34475,34475.00
jan-09,382,-85.66%,382,34142.00
fev-09,1211,217.02%,1593,33004.00
mar-09,1561,28.90%,3154,30604.00
abr-09,1061,-32.03%,4215,29764.00
mai-09,2220,109.24%,6435,28125.00
jun-09,1715,-22.75%,8150,25813.00
jul-09,2083,21.46%,10233,24965.00
ago-09,3934,88.86%,14167,25257.00
set-09,4286,8.95%,18453,27175.00
out-09,2517,-41.27%,20970,26151.00
nov-09,4035,60.31%,25005,27668.00
dez-09,6579,63.05%,31584,31584.00
jan-10,590,-91.03%,590,31792.00
fev-10,1644,178.64%,2234,32225.00
mar-10,3959,140.82%,6193,34623.00
abr-10,2370,-40.14%,8563,35932.00
mai-10,2188,-7.68%,10751,35900.00
jun-10,2830,29.34%,13581,37015.00
jul-10,2582,-8.76%,16163,37514.00
ago-10,1741,-32.57%,17904,35321.00
set-10,3022,73.58%,20926,34057.00
out-10,5302,75.45%,26228,36842.00
nov-10,3970,-25.12%,30198,36777.00
dez-10,8001,101.54%,38199,38199.00
jan-11,701,-91.24%,701,38310.00
fev-11,2902,313.98%,3603,39568.00
mar-11,1530,-47.28%,5133,37139.00
abr-11,2129,39.15%,7262,36898.00
mai-11,3663,72.05%,10925,38373.00
jun-11,3187,-12.99%,14112,38730.00
jul-11,2732,-14.28%,16844,38880.00
ago-11,3715,35.98%,20559,40854.00
set-11,2763,-25.63%,23322,40595.00
out-11,3229,16.87%,26551,38522.00
nov-11,4358,34.96%,30909,38910.00
dez-11,7240,66.13%,38149,38149.00
jan-12,674,-90.69%,674,38122.00
fev-12,1445,114.39%,2119,36665.00
mar-12,1578,9.20%,3697,36713.00
abr-12,1622,2.79%,5319,36206.00
mai-12,2353,45.07%,7672,34896.00
jun-12,1552,-34.04%,9224,33261.00
jul-12,1825,17.59%,11049,32354.00
ago-12,2078,13.86%,13127,30717.00
set-12,3805,83.11%,16932,31759.00
out-12,2555,-32.85%,19487,31085.00
nov-12,4894,91.55%,24381,31621.00
dez-12,4136,-15.49%,28517,28517.00
