year,flow,time,level,trend
1950,2851.92,1,0,0
1951,2350.42,2,0,0
1952,2382.92,3,0,0
1953,2630.92,4,0,0
1954,3325.25,5,0,0
1955,2899.58,6,0,0
1956,3106.33,7,0,0
1957,2523.17,8,0,0
1958,2380.50,9,0,0
1959,3086.33,10,0,0
1960,2573.00,11,0,0
1961,3217.92,12,0,0
1962,3175.58,13,0,0
1963,3097.17,14,0,0
1964,3681.42,15,1,1
1965,2920.67,16,1,2
1966,2355.08,17,1,3
1967,2194.25,18,1,4
1968,1687.83,19,1,5
1969,1689.33,20,1,6
1970,1727.17,21,1,7
1971,1770.42,22,1,8
1972,1752.92,23,1,9
1973,1784.58,24,1,10
1974,1777.33,25,1,11
1975,1724.42,26,1,12
1976,1728.00,27,1,13
1977,1825.58,28,1,14
1978,1969.50,29,1,15
1979,1839.67,30,1,16
1980,1793.92,31,1,17
1981,1835.92,32,1,18
1982,1872.25,33,1,19
1983,1811.25,34,1,20
1984,1813.25,35,1,21
