year,month,yearmonth,time,cerc,cerc_trend,cda,cda_trend,strips_pt
2007,1,"2007, 1",1,0,0,0,0,219.673
2007,2,"2007, 2",2,0,0,0,0,218.61
2007,3,"2007, 3",3,0,0,0,0,220.594
2007,4,"2007, 4",4,0,0,0,0,223.959
2007,5,"2007, 5",5,0,0,0,0,221.098
2007,6,"2007, 6",6,0,0,0,0,217.084
2007,7,"2007, 7",7,0,0,0,0,226.832
2007,8,"2007, 8",8,0,0,0,0,230.905
2007,9,"2007, 9",9,0,0,0,0,213.906
2007,10,"2007, 10",10,0,0,0,0,233.546
2007,11,"2007, 11",11,0,0,0,0,229.793
2007,12,"2007, 12",12,0,0,0,0,217.958
2008,1,"2008, 1",13,0,0,0,0,223.203
2008,2,"2008, 2",14,0,0,0,0,228.37
2008,3,"2008, 3",15,0,0,0,0,211.285
2008,4,"2008, 4",16,0,0,0,0,231.205
2008,5,"2008, 5",17,0,0,0,0,226.929
2008,6,"2008, 6",18,0,0,0,0,238.992
2008,7,"2008, 7",19,0,0,0,0,242.051
2008,8,"2008, 8",20,0,0,0,0,223.931
2008,9,"2008, 9",21,0,0,0,0,244.004
2008,10,"2008, 10",22,0,0,0,0,235.998
2008,11,"2008, 11",23,0,0,0,0,229.665
2008,12,"2008, 12",24,0,0,0,0,242.008
2009,1,"2009, 1",25,0,0,0,0,234.463
2009,2,"2009, 2",26,0,0,0,0,229.216
2009,3,"2009, 3",27,0,0,0,0,233.696
2009,4,"2009, 4",28,0,0,0,0,246.668
2009,5,"2009, 5",29,0,0,0,0,237.201
2009,6,"2009, 6",30,0,0,0,0,239.812
2009,7,"2009, 7",31,1,1,0,0,242.302
2009,8,"2009, 8",32,1,2,0,0,236.641
2009,9,"2009, 9",33,1,3,0,0,242.637
2009,10,"2009, 10",34,1,4,0,0,245.693
2009,11,"2009, 11",35,1,5,0,0,243.083
2009,12,"2009, 12",36,1,6,0,0,259.238
2010,1,"2010, 1",37,1,7,0,0,233.067
2010,2,"2010, 2",38,1,8,0,0,227.185
2010,3,"2010, 3",39,1,9,0,0,243.367
2010,4,"2010, 4",40,1,10,0,0,237.798
2010,5,"2010, 5",41,1,11,0,0,236.634
2010,6,"2010, 6",42,1,12,0,0,243.655
2010,7,"2010, 7",43,1,13,0,0,241.081
2010,8,"2010, 8",44,1,14,0,0,242.354
2010,9,"2010, 9",45,1,15,0,0,246.419
2010,10,"2010, 10",46,1,16,0,0,242.137
2010,11,"2010, 11",47,1,17,0,0,242.979
2010,12,"2010, 12",48,1,18,0,0,260.813
2011,1,"2011, 1",49,1,19,0,0,230.368
2011,2,"2011, 2",50,1,20,0,0,235.083
2011,3,"2011, 3",51,1,21,0,0,242.711
2011,4,"2011, 4",52,1,22,0,0,227.218
2011,5,"2011, 5",53,1,23,0,0,226.631
2011,6,"2011, 6",54,1,24,0,0,224.733
2011,7,"2011, 7",55,1,25,0,0,218.842
2011,8,"2011, 8",56,1,26,0,0,234.123
2011,9,"2011, 9",57,1,27,1,1,226.553
2011,10,"2011, 10",58,1,28,1,2,225.043
2011,11,"2011, 11",59,1,29,1,3,219.877
2011,12,"2011, 12",60,1,30,1,4,222.593
2012,1,"2012, 1",61,1,31,1,5,218.876
2012,2,"2012, 2",62,1,32,1,6,221.77
2012,3,"2012, 3",63,1,33,1,7,220.569
2012,4,"2012, 4",64,1,34,1,8,211.552
2012,5,"2012, 5",65,1,35,1,9,217.405
2012,6,"2012, 6",66,1,36,1,10,209.903
2012,7,"2012, 7",67,1,37,1,11,213.777
2012,8,"2012, 8",68,1,38,1,12,210.987
2012,9,"2012, 9",69,1,39,1,13,206.679
2012,10,"2012, 10",70,1,40,1,14,218.105
2012,11,"2012, 11",71,1,41,1,15,209.469
2012,12,"2012, 12",72,1,42,1,16,207.973
