year,quarter,yearqtr,stdunits,time,level,trend
1998,2,"1998 ,2",1.572,1,0,0
1998,3,"1998 ,3",1.839,2,0,0
1998,4,"1998 ,4",1.929,3,0,0
1999,1,"1999 ,1",2.154,4,0,0
1999,2,"1999 ,2",2.166,5,0,0
1999,3,"1999 ,3",2.444,6,0,0
1999,4,"1999 ,4",2.326,7,0,0
2000,1,"2000 ,1",2.467,8,0,0
2000,2,"2000 ,2",2.29,9,0,0
2000,3,"2000 ,3",2.538,10,0,0
2000,4,"2000 ,4",2.502,11,0,0
2001,1,"2001 ,1",2.713,12,0,0
2001,2,"2001 ,2",2.976,13,1,1
2001,3,"2001 ,3",3.038,14,1,2
2001,4,"2001 ,4",3.019,15,1,3
2002,1,"2002 ,1",3.686,16,1,4
2002,2,"2002 ,2",3.974,17,1,5
2002,3,"2002 ,3",4.039,18,1,6
2002,4,"2002 ,4",4.513,19,1,7
2003,1,"2003 ,1",4.657,20,1,8
2003,2,"2003 ,2",5.55,21,1,9
2003,3,"2003 ,3",5.392,22,1,10
2003,4,"2003 ,4",5.821,23,1,11
2004,1,"2004 ,1",6.487,24,1,12
2004,2,"2004 ,2",6.524,25,1,13
2004,3,"2004 ,3",7.176,26,1,14
2004,4,"2004 ,4",7.997,27,1,15
2005,1,"2005 ,1",8.263,28,1,16
2005,2,"2005 ,2",9.157,29,1,17
2005,3,"2005 ,3",9.733,30,1,18
2005,4,"2005 ,4",11.117,31,1,19
2006,1,"2006 ,1",10.999,32,1,20
2006,2,"2006 ,2",11.754,33,1,21
2006,3,"2006 ,3",12.267,34,1,22
