Mês,unidades,Var% Mês,Acum. Ano,Vendas
jan-04,"1,591.00",,"1,591.00",
fev-04,"1,216.00",-23.57%,"2,807.00",
mar-04,"2,065.00",69.82%,"4,872.00",
abr-04,"1,826.00",-11.57%,"6,698.00",
mai-04,"1,211.00",-33.68%,"7,909.00",
jun-04,"1,314.00",8.51%,"9,223.00",
jul-04,"1,028.00",-21.77%,"10,251.00",
ago-04,"1,553.00",51.07%,"11,804.00",
set-04,"2,062.00",32.78%,"13,866.00",
out-04,"2,290.00",11.06%,"16,156.00",
nov-04,"1,812.00",-20.87%,"17,968.00",
dez-04,"2,215.00",22.24%,"20,183.00",
jan-05,"1,342.00",-0.3941,"1,342.00","19,934.00"
fev-05,"1,151.00",-14.23%,"2,493.00","19,869.00"
mar-05,"2,483.00",115.73%,"4,976.00","20,287.00"
abr-05,"1,956.00",-21.22%,"6,932.00","20,417.00"
mai-05,"1,696.00",-13.29%,"8,628.00","20,902.00"
jun-05,"2,528.00",49.06%,"11,156.00","22,116.00"
jul-05,"1,685.00",-33.35%,"12,841.00","22,773.00"
ago-05,"1,768.00",4.93%,"14,609.00","22,988.00"
set-05,"1,849.00",4.58%,"16,458.00","22,775.00"
out-05,"2,522.00",36.40%,"18,980.00","23,007.00"
nov-05,"2,049.00",-18.75%,"21,029.00","23,244.00"
dez-05,"2,781.00",35.72%,"23,810.00","23,810.00"
jan-06,"1,354.00",-0.5131,"1,354.00","23,822.00"
fev-06,"1,782.00",31.61%,"3,136.00","24,453.00"
mar-06,"2,078.00",16.61%,"5,214.00","24,048.00"
abr-06,"2,241.00",7.84%,"7,455.00","24,333.00"
mai-06,"2,584.00",15.31%,"10,039.00","25,221.00"
jun-06,"3,108.00",20.28%,"13,147.00","25,801.00"
jul-06,"2,090.00",-32.75%,"15,237.00","26,206.00"
ago-06,"2,352.00",12.54%,"17,589.00","26,790.00"
set-06,"2,459.00",4.55%,"20,048.00","27,400.00"
out-06,"2,216.00",-9.88%,"22,264.00","27,094.00"
nov-06,"2,989.00",34.88%,"25,253.00","28,034.00"
dez-06,"3,071.00",2.74%,"28,324.00","28,324.00"
jan-07,"1,305.00",-0.5751,"1,305.00","28,275.00"
fev-07,"1,565.00",19.92%,"2,870.00","28,058.00"
mar-07,"2,805.00",79.23%,"5,675.00","28,785.00"
abr-07,"2,338.00",-16.65%,"8,013.00","28,882.00"
mai-07,"3,248.00",38.92%,"11,261.00","29,546.00"
jun-07,"3,169.00",-2.43%,"14,430.00","29,607.00"
jul-07,"2,332.00",-26.41%,"16,762.00","29,849.00"
ago-07,"2,698.00",15.69%,"19,460.00","30,195.00"
set-07,"4,789.00",77.50%,"24,249.00","32,525.00"
out-07,"3,854.00",-19.52%,"28,103.00","34,163.00"
nov-07,"3,084.00",-19.98%,"31,187.00","34,258.00"
dez-07,"5,428.00",76.01%,"36,615.00","36,615.00"
jan-08,"1,397.00",-0.7426,"1,397.00","36,707.00"
fev-08,"2,695.00",92.91%,"4,092.00","37,837.00"
mar-08,"4,386.00",62.75%,"8,478.00","39,418.00"
abr-08,"2,786.00",-36.48%,"11,264.00","39,866.00"
mai-08,"4,347.00",56.03%,"15,611.00","40,965.00"
jun-08,"3,613.00",-16.89%,"19,224.00","41,409.00"
jul-08,"2,550.00",-29.42%,"21,774.00","41,627.00"
ago-08,"4,146.00",62.59%,"25,920.00","43,075.00"
set-08,"2,544.00",-38.64%,"28,464.00","40,830.00"
out-08,946.00,-62.81%,"29,410.00","37,922.00"
nov-08,"1,760.00",86.05%,"31,170.00","36,598.00"
dez-08,"1,677.00",-4.72%,"32,847.00","32,847.00"
jan-09,"1,113.00",-0.3363,"1,113.00","32,563.00"
fev-09,"1,556.00",39.80%,"2,669.00","31,424.00"
mar-09,"2,162.00",38.95%,"4,831.00","29,200.00"
abr-09,"1,953.00",-9.67%,"6,784.00","28,367.00"
mai-09,"4,010.00",105.33%,"10,794.00","28,030.00"
jun-09,"3,574.00",-10.87%,"14,368.00","27,991.00"
jul-09,"2,092.00",-41.47%,"16,460.00","27,533.00"
ago-09,"3,578.00",71.03%,"20,038.00","26,965.00"
set-09,"5,049.00",41.11%,"25,087.00","29,470.00"
out-09,"2,471.00",-51.06%,"27,558.00","30,995.00"
nov-09,"2,611.00",5.67%,"30,169.00","31,846.00"
dez-09,"5,663.00",116.89%,"35,832.00","35,832.00"
jan-10,"1,508.00",-0.7337,"1,508.00","36,227.00"
fev-10,"2,858.00",89.52%,"4,366.00","37,529.00"
mar-10,"4,095.00",43.28%,"8,461.00","39,462.00"
abr-10,"3,236.00",-20.98%,"11,697.00","40,745.00"
mai-10,"1,949.00",-39.77%,"13,646.00","38,684.00"
jun-10,"3,359.00",72.34%,"17,005.00","38,469.00"
jul-10,"3,177.00",-5.42%,"20,182.00","39,554.00"
ago-10,"1,638.00",-48.44%,"21,820.00","37,614.00"
set-10,"2,785.00",70.02%,"24,605.00","35,350.00"
out-10,"3,034.00",8.94%,"27,639.00","35,913.00"
nov-10,"3,270.00",7.78%,"30,909.00","36,572.00"
dez-10,"4,960.00",51.68%,"35,869.00","35,869.00"
jan-11,830.00,-0.8327,830.00,"35,191.00"
fev-11,"1,869.00",125.18%,"2,699.00","34,202.00"
mar-11,"1,566.00",-16.21%,"4,265.00","31,673.00"
abr-11,"2,319.00",48.08%,"6,584.00","30,756.00"
mai-11,"2,380.00",2.63%,"8,964.00","31,187.00"
jun-11,"2,716.00",14.12%,"11,680.00","30,544.00"
jul-11,"2,722.00",0.22%,"14,402.00","30,089.00"
ago-11,"2,234.00",-17.93%,"16,636.00","30,685.00"
set-11,"3,237.00",44.90%,"19,873.00","31,137.00"
out-11,"2,017.00",-37.69%,"21,890.00","30,120.00"
nov-11,"2,601.00",28.95%,"24,491.00","29,451.00"
dez-11,"3,825.00",47.06%,"28,316.00","28,316.00"
jan-12,"1,068.00",-0.7208,"1,068.00","28,554.00"
fev-12,"2,109.00",97.47%,"3,177.00","28,794.00"
mar-12,"2,223.00",5.41%,"5,400.00","29,451.00"
abr-12,"2,007.00",-9.72%,"7,407.00","29,139.00"
mai-12,"2,728.00",35.92%,"10,135.00","29,487.00"
jun-12,"1,846.00",-32.33%,"11,981.00","28,617.00"
jul-12,"1,689.00",-8.50%,"13,670.00","27,584.00"
ago-12,"1,860.00",10.12%,"15,530.00","27,210.00"
set-12,"3,674.00",97.53%,"19,204.00","27,647.00"
out-12,"1,972.00",-46.33%,"21,176.00","27,602.00"
nov-12,"2,852.00",44.62%,"24,028.00","27,853.00"
dez-12,"2,930.00",2.73%,"26,958.00","26,958.00"
jan-13,848.00,-0.7106,848.00,"26,738.00"
fev-13,"1,927.00",127.24%,"2,775.00","26,556.00"
mar-13,"4,087.00",112.09%,"6,862.00","28,420.00"
abr-13,"3,488.00",-14.66%,"10,350.00","29,901.00"
mai-13,"3,278.00",-6.02%,"13,628.00","30,451.00"
jun-13,"3,872.00",18.12%,"17,500.00","32,477.00"
jul-13,"1,674.00",-56.77%,"19,174.00","32,462.00"
ago-13,"3,464.00",106.93%,"22,638.00","34,066.00"
set-13,"2,953.00",-14.75%,"25,591.00","33,345.00"
out-13,"2,160.00",-26.85%,"27,751.00","33,533.00"
nov-13,"2,777.00",28.56%,"30,528.00","33,458.00"
dez-13,"2,791.00",0.50%,"33,319.00","33,319.00"
jan-14,"1,030.00",-0.631,"1,030.00","33,501.00"
fev-14,981.00,-4.76%,"2,011.00","32,555.00"
mar-14,"1,744.00",77.78%,"3,755.00","30,212.00"
abr-14,"2,147.00",23.11%,"5,902.00","28,871.00"
mai-14,"2,080.00",-3.12%,"7,982.00","27,673.00"
jun-14,"1,072.00",-48.46%,"9,054.00","24,873.00"
jul-14,736.00,-31.34%,"9,790.00","23,935.00"
ago-14,"1,797.00",144.16%,"11,587.00","22,268.00"
set-14,"2,787.00",55.09%,"14,374.00","22,102.00"
out-14,963.00,-65.45%,"15,337.00","20,905.00"
nov-14,"2,987.00",210.18%,"18,324.00","21,115.00"
dez-14,"3,252.00",8.87%,"21,576.00","21,576.00"
jan-15,737.00,-0.7734,737.00,"21,283.00"
fev-15,732.00,-0.68%,"1,469.00","21,034.00"
mar-15,"1,267.00",73.09%,"2,736.00","20,557.00"
abr-15,"2,185.00",72.45%,"4,921.00","20,595.00"
mai-15,"2,149.00",-1.65%,"7,070.00","20,664.00"
jun-15,"2,588.00",20.43%,"9,658.00","22,180.00"
jul-15,"1,042.00",-59.74%,"10,700.00","22,486.00"
ago-15,"1,606.00",54.13%,"12,306.00","22,295.00"
set-15,"1,392.00",-13.33%,"13,698.00","20,900.00"
out-15,"1,112.00",-20.11%,"14,810.00","21,049.00"
nov-15,"2,473.00",122.39%,"17,283.00","20,535.00"
dez-15,"2,865.00",15.85%,"20,148.00","20,148.00"
jan-16,950.00,-0.6684,950.00,"20,361.00"
fev-16,836.00,-12.00%,"1,786.00","20,465.00"
mar-16,"1,070.00",27.99%,"2,856.00","20,268.00"
abr-16,"1,182.00",10.47%,"4,038.00","19,265.00"
mai-16,"1,059.00",-10.41%,"5,097.00","18,175.00"
jun-16,"2,097.00",98.02%,"7,194.00","17,684.00"
jul-16,828.00,-60.52%,"8,022.00","17,470.00"
ago-16,"1,078.00",30.19%,"9,100.00","16,942.00"
set-16,"1,717.00",59.28%,"10,817.00","17,267.00"
out-16,"1,507.00",-12.23%,"12,324.00","17,662.00"
nov-16,"1,724.00",14.40%,"14,048.00","16,913.00"
dez-16,"2,122.00",23.09%,"16,170.00","16,170.00"
jan-17,622.00,-0.7069,622.00,"15,842.00"
